Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
2021-06-27 15:54:13,4th year,Good,70,Female,22,Home,In a relationship,No,3,Normal,Not applicable,Not applicable,Not applicable,Family,No,Not applicable,No,Yes,No,8.0
2021-06-30 19:45:54,3rd year,Good,70,Female,21,Hall-Mess,In a relationship,No,3,Normal,No,Yes,No,Friends,No,Maybe,No,Yes,No,5.0
2021-04-04 23:24:23,4th year,Normal,80,Female,22,Home,It's complicated,Yes,3,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8.0
2021-05-07 19:57:34,4th year,Good,70,Female,22,Home,It's complicated,No,3,Normal,Not applicable,No,Yes,Friends,Yes,No,Neutral,No,No,6.0
2021-05-13 00:04:46,4th year,Good,80,Female,22,Restaurant ,Single,No,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,No,8.5
2021-06-19 20:07:45,3rd year,Very bad,10,Female,21,Department,It's complicated,No,1,Good,Yes,No,No,No one,Yes,Maybe,No,Yes,No,4.0
2021-04-26 10:36:29,4th year,Normal,70,Female,22,Home,It's complicated,Yes,3,Bad,No,No,Yes,No one,Yes,Maybe,Neutral,No,No,8.0
2021-06-18 01:54:16,2nd year,Good,85,Female,21,Hall-Mess,In a relationship,Yes,3,Good,No,Yes,No,Friends,Yes,Yes,Neutral,No,No,5.0
2021-05-21 18:25:35,4th year,Good,80,Female,22,Home,It's complicated,No,3,Normal,Not applicable,No,Yes,Friends,Yes,No,Yes,No,No,6.0
2021-06-23 20:14:39,2nd year,Bad,30,Female,20,Hall-Mess,In a relationship,Yes,3,Good,Yes,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,No,Yes,5.0
2021-05-25 20:08:19,2nd year,Normal,40,Female,20,Department,In a relationship,Yes,4,Normal,Yes,Yes,No,Friends,Yes,No,No,No,Yes,5.0
2021-06-23 02:04:49,1st year,Bad,30,Female,20,Department,It's complicated,No,2,Bad,Not applicable,Not applicable,No,Family,Yes,No,No,Yes,No,5.0
2021-04-17 17:26:46,4th year,Bad,50,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,No one,Yes,Maybe,Neutral,No,No,8.0
2021-06-05 19:58:12,2nd year,Bad,30,Female,20,Hall-Mess,In a relationship,Yes,3,Good,Yes,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,No,Yes,5.0
2021-06-26 20:05:33,3rd year,Normal,40,Female,21,Department,It's complicated,No,2,Bad,Not applicable,Yes,No,Not applicable,No,Yes,No,Yes,No,7.0
2021-06-07 20:12:43,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-05-11 15:53:01,4th year,Normal,80,Female,22,Home,In a relationship,No,3,Normal,No,No,Yes,Family,No,No,Yes,No,Yes,7.0
2021-07-13 20:17:14,3rd year,Good,70,Female,21,Hall-Mess,It's complicated,No,2,Good,No,No,Yes,Friends,No,Maybe,No,No,Yes,6.5
2021-06-19 20:08:15,2nd year,Bad,30,Female,20,Hall-Mess,In a relationship,Yes,3,Good,Yes,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,No,Yes,5.0
2021-07-29 01:54:58,2nd year,Very good,90,Female,21,Department,In a relationship,No,4,Good,Not applicable,Yes,No,No one,No,Yes,Yes,No,Yes,6.0
2021-07-12 20:07:38,2nd year,Normal,40,Female,20,Department,In a relationship,Yes,4,Normal,Yes,Yes,No,Friends,Yes,No,No,No,Yes,5.0
